Index-Nr;Modell-Nr;Aktf.;rek. Aktf.;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
39;2;tanh;$\sigma$;1;8;148.4;8;0.0076;0.0078;0.9498;0.9521;0.9503
40;2;tanh;tanh;1;8;146.5;0.0502;0.0483;0.0493;0.6336;0.6485;0.6428
41;2;$\sigma$;$\sigma$;1;32;50.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
42;2;$\sigma$;tanh;1;32;50.4;0.0778;0.0769;0.0779;0.2986;0.2993;0.2968
43;2;tanh;$\sigma$;1;32;51.4;0.0189;0.0178;0.0177;877;0.8848;0.8864
44;2;tanh;tanh;1;32;52.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
45;2;$\sigma$;$\sigma$;1;128;28.7;0.0901;0.0901;0.0901;0.1136;0.1064;0.1135
46;2;$\sigma$;tanh;1;128;29.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
47;2;tanh;$\sigma$;1;128;30.1;0.0714;0.0709;71;0.3658;0.3719;0.3648
48;2;tanh;tanh;1;128;30.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
49;2;$\sigma$;$\sigma$;0.1;8;152.5;0.09;0.09;0.09;0.1136;0.1064;0.1135
50;2;$\sigma$;tanh;0.1;8;154.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
51;2;tanh;$\sigma$;0.1;8;153.6;47;0.0464;0.0463;0.6611;0.6715;0.6739
52;2;tanh;tanh;0.1;8;156.5;0.09;0.09;0.09;0.1136;0.1064;0.1135
53;2;$\sigma$;$\sigma$;0.1;32;57.5;0.09;0.0901;0.09;0.1136;0.1064;0.1135
54;2;$\sigma$;tanh;0.1;32;57.6;0.09;0.09;0.09;0.1164;0.1098;0.1159
55;2;tanh;$\sigma$;0.1;32;57.9;0.0869;87;0.0868;0.2305;0.2247;0.2284
56;2;tanh;tanh;0.1;32;59.5;0.09;0.09;0.09;0.1136;0.1064;0.1135
57;2;$\sigma$;$\sigma$;0.1;128;35.0;0.0905;0.0905;0.0905;0.1136;0.1064;0.1135
58;2;$\sigma$;tanh;0.1;128;36.4;0.09;0.09;0.09;0.1292;0.1202;0.1275
59;2;tanh;$\sigma$;0.1;128;36.2;0.0899;0.0899;0.0899;0.1388;0.1388;0.1411
60;2;tanh;tanh;0.1;128;36.6;0.09;0.09;0.09;0.1136;0.1064;0.1135
61;2;$\sigma$;$\sigma$;0.01;8;162.9;0.0904;0.0905;0.0904;0.0994;99;0.1032
62;2;$\sigma$;tanh;0.01;8;162.0;0.09;0.09;0.09;0.1243;0.1186;0.1241
63;2;tanh;$\sigma$;0.01;8;163.9;0.0888;0.0887;0.0888;0.1656;171;0.1668
64;2;tanh;tanh;0.01;8;162.6;0.09;0.09;0.09;0.1136;0.1064;0.1135
65;2;$\sigma$;$\sigma$;0.01;32;64.2;0.0906;0.0907;0.0907;99;0.0967;0.0958
66;2;$\sigma$;tanh;0.01;32;64.1;0.09;0.09;0.09;121;0.1128;0.1214
67;2;tanh;$\sigma$;0.01;32;64.7;0.0899;0.0899;0.0899;0.1499;0.1526;0.1509
68;2;tanh;tanh;0.01;32;65.3;0.09;0.09;0.09;0.1136;0.1064;0.1135
69;2;$\sigma$;$\sigma$;0.01;128;41.3;0.0903;0.0903;0.0903;0.0998;0.0961;0.1009
70;2;$\sigma$;tanh;0.01;128;41.8;0.09;0.09;0.09;128;0.1255;0.1283
71;2;tanh;$\sigma$;0.01;128;42.5;0.09;0.09;0.0901;0.1312;0.1299;0.1312
72;2;tanh;tanh;0.01;128;42.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
73;3;$\sigma$;$\sigma$;1;8;109.8;0.09;0.0901;0.09;0.1136;0.1064;0.1135
74;3;$\sigma$;tanh;1;8;109.4;0.0859;0.0863;0.0856;0.1788;0.1732;0.1802
75;3;tanh;$\sigma$;1;8;109.4;0.0132;0.0122;13;0.9151;0.9198;0.9148
76;3;tanh;tanh;1;8;109.7;0.0514;0.0494;0.05;0.6267;0.6377;0.6349
77;3;$\sigma$;$\sigma$;1;32;51.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
78;3;$\sigma$;tanh;1;32;52.2;0.09;0.09;0.09;0.1136;0.1064;0.1135
79;3;tanh;$\sigma$;1;32;52.3;0.0256;0.0238;0.0237;0.8325;0.8462;0.8446
80;3;tanh;tanh;1;32;52.5;0.0521;0.0503;0.0521;0.6268;0.6564;0.6304
81;3;$\sigma$;$\sigma$;1;128;38.3;0.09;0.09;0.09;0.1136;0.1064;0.1135
82;3;$\sigma$;tanh;1;128;38.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
83;3;tanh;$\sigma$;1;128;39.0;0.0714;0.0712;0.0709;401;0.4024;0.4072
84;3;tanh;tanh;1;128;39.2;0.09;0.09;0.09;0.1136;0.1064;0.1135
85;3;$\sigma$;$\sigma$;0.1;8;114.6;0.09;0.09;0.09;0.1136;0.1064;0.1135
86;3;$\sigma$;tanh;0.1;8;114.0;0.0899;0.0899;0.0899;0.1137;0.1065;0.1135
87;3;tanh;$\sigma$;0.1;8;115.0;0.0679;0.0671;0.0678;0.4556;0.4531;0.4594
88;3;tanh;tanh;0.1;8;115.0;0.0889;0.0888;0.0889;0.2059;0.21;207
89;3;$\sigma$;$\sigma$;0.1;32;55.3;0.0903;0.0903;0.0903;0.1035;109;0.1028
90;3;$\sigma$;tanh;0.1;32;56.3;0.09;0.09;0.09;0.1136;0.1064;0.1135
91;3;tanh;$\sigma$;0.1;32;57.1;0.0889;0.0889;89;204;0.2024;0.2067
92;3;tanh;tanh;0.1;32;56.7;0.09;0.09;0.09;0.1145;0.1087;114
93;3;$\sigma$;$\sigma$;0.1;128;42.3;0.0908;0.0908;0.0908;102;103;101
94;3;$\sigma$;tanh;0.1;128;42.6;0.09;0.09;0.09;0.1097;0.1142;111
95;3;tanh;$\sigma$;0.1;128;42.9;0.0898;0.0898;0.0897;0.1612;0.1574;0.1675
96;3;tanh;tanh;0.1;128;42.9;0.09;0.09;0.09;114;0.1068;0.1137
97;3;$\sigma$;$\sigma$;0.01;8;119.0;0.0901;0.0901;0.0901;0.0972;0.0983;0.0982
98;3;$\sigma$;tanh;0.01;8;120.3;0.09;0.09;0.09;0.0995;0.0995;0.1033
99;3;tanh;$\sigma$;0.01;8;120.2;0.0896;0.0896;0.0896;0.1525;0.1522;0.1598
100;3;tanh;tanh;0.01;8;120.7;0.09;0.09;0.09;0.1146;0.1074;0.1145
101;3;$\sigma$;$\sigma$;0.01;32;59.8;0.0905;0.0906;0.0904;0.1136;0.1064;0.1135
102;3;$\sigma$;tanh;0.01;32;59.4;0.0902;0.0902;0.0902;102;103;101
103;3;tanh;$\sigma$;0.01;32;60.1;0.0901;0.0901;0.0901;0.13;0.1301;0.1292
104;3;tanh;tanh;0.01;32;60.9;0.09;0.09;0.09;0.1156;0.1088;0.1152
105;3;$\sigma$;$\sigma$;0.01;128;45.9;0.0912;0.0913;0.0912;99;0.0967;0.0958
106;3;$\sigma$;tanh;0.01;128;46.0;0.0903;0.0903;0.0903;102;103;101
107;3;tanh;$\sigma$;0.01;128;46.2;0.0901;0.0901;0.0901;0.1048;0.1045;0.1026
108;3;tanh;tanh;0.01;128;46.6;0.09;0.09;0.09;0.1178;0.1102;0.1181
109;4;$\sigma$;$\sigma$;1;8;195.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
110;4;$\sigma$;tanh;1;8;195.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
111;4;tanh;$\sigma$;1;8;196.4;0.0076;0.0076;0.0078;0.9517;952;0.9494
112;4;tanh;tanh;1;8;197.7;0.09;0.09;0.09;0.1035;109;0.1028
113;4;$\sigma$;$\sigma$;1;32;88.3;0.09;0.09;0.09;0.1136;0.1064;0.1135
114;4;$\sigma$;tanh;1;32;88.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
115;4;tanh;$\sigma$;1;32;89.6;25;0.0233;0.0236;0.8353;0.8476;0.8457
116;4;tanh;tanh;1;32;89.6;0.09;0.09;0.09;0.1136;0.1064;0.1135
117;4;$\sigma$;$\sigma$;1;128;63.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
118;4;$\sigma$;tanh;1;128;63.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
119;4;tanh;$\sigma$;1;128;64.2;0.0707;71;0.0706;0.4154;0.4161;0.4098
120;4;tanh;tanh;1;128;64.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
121;4;$\sigma$;$\sigma$;0.1;8;203.4;0.09;0.09;0.09;0.1136;0.1064;0.1135
122;4;$\sigma$;tanh;0.1;8;205.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
123;4;tanh;$\sigma$;0.1;8;209.2;0.0473;0.0458;0.0466;0.6745;688;685
124;4;tanh;tanh;0.1;8;208.7;0.09;0.09;0.09;0.1136;0.1064;0.1135
125;4;$\sigma$;$\sigma$;0.1;32;95.8;0.0904;0.0904;0.0904;0.1136;0.1064;0.1135
126;4;$\sigma$;tanh;0.1;32;96.1;0.09;0.09;0.09;0.1136;0.1064;0.1135
127;4;tanh;$\sigma$;0.1;32;99.2;87;0.0869;0.0869;0.1808;0.1798;0.1854
128;4;tanh;tanh;0.1;32;97.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
129;4;$\sigma$;$\sigma$;0.1;128;70.5;0.0908;0.0909;0.0908;0.1136;0.1064;0.1135
130;4;$\sigma$;tanh;0.1;128;70.5;0.09;0.09;0.09;0.0986;0.0991;98
131;4;tanh;$\sigma$;0.1;128;71.7;0.09;0.09;0.09;0.1335;0.1315;0.1328
132;4;tanh;tanh;0.1;128;71.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
133;4;$\sigma$;$\sigma$;0.01;8;214.9;0.0906;0.0907;0.0907;0.1136;0.1064;0.1135
134;4;$\sigma$;tanh;0.01;8;216.8;0.09;0.09;0.09;0.1136;0.1064;0.1135
135;4;tanh;$\sigma$;0.01;8;217.2;0.0895;0.0895;0.0895;0.1783;0.1814;0.1867
136;4;tanh;tanh;0.01;8;217.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
137;4;$\sigma$;$\sigma$;0.01;32;103.5;0.0909;0.0909;0.0909;102;103;101
138;4;$\sigma$;tanh;0.01;32;103.9;0.09;0.09;0.09;0.1034;0.1089;0.1028
139;4;tanh;$\sigma$;0.01;32;104.5;0.09;0.09;0.09;0.1287;0.1252;0.1216
140;4;tanh;tanh;0.01;32;105.0;0.09;0.09;0.09;0.1136;0.1064;0.1135
141;4;$\sigma$;$\sigma$;0.01;128;77.7;0.0911;0.0909;0.0911;0.1035;109;0.1028
142;4;$\sigma$;tanh;0.01;128;77.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
143;4;tanh;$\sigma$;0.01;128;78.8;0.0899;0.0899;0.0899;0.1276;0.1318;0.1282
144;4;tanh;tanh;0.01;128;79.9;0.09;0.09;0.09;0.1136;0.1064;0.1135
